Chrom	Pos	Gene	Profile	b	a	c	d
15	24776353	-	0100	0.0	0.109	0.0	0.0
15	26590849	-	0100	0.0	0.11	0.008	0.0
15	38044551	-	0101	0.0	0.16699999999999998	0.0	0.109
15	43535143	TGM5	0101	0.0	0.12300000000000001	0.0	0.10300000000000001
15	78204051	ENSG00000225033	0100	0.0	0.195	0.0	0.0
15	97394686	-	0100	0.0	0.177	0.0	0.0
6	118880180	PLN	0100	0.0	0.066	0.0	0.0
16	70838079	HYDIN2	0111	0.0	0.124	0.39	0.248
7	31378489	NEUROD6	0110	0.0	0.08	0.177	0.0
7	55224515	EGFR	0100	0.0	0.028999999999999998	0.002	0.002
7	55224516	EGFR	0100	0.0	0.025	0.0	0.002
17	26072188	-	0111	0.0	0.051	0.179	0.205
17	27504615	-	0111	0.0	0.114	0.16399999999999998	0.228
17	27504695	-	0111	0.0	0.081	0.149	0.29
8	56711482	TGS1	0110	0.0	0.14800000000000002	0.255	0.006
11	58980177	MPEG1	0110	0.0	0.092	0.21100000000000002	0.006
2	132432458	-	0100	0.0	0.07	0.0	0.0
2	132432494	-	0100	0.0	0.077	0.0	0.0
2	144215979	ARHGAP15	0100	0.0	0.062	0.0	0.0
2	166262665	-	0100	0.0	0.10300000000000001	0.0	0.0
20	8150442	PLCB1	0111	0.0	0.256	0.31	0.28
12	112623282	C12orf51	0110	0.0	0.085	0.239	0.006999999999999999
12	131285802	STX2	0111	0.0	0.098	0.26899999999999996	0.315
14	63453899	KCNH5	0111	0.0	0.085	0.508	0.226
3	49567109	DAG1	0100	0.0	0.172	0.0	0.0
14	67525372	GPHN	0111	0.0	0.11699999999999999	0.521	0.151
15	20084172	ENSG00000215567	0110	0.0	0.028999999999999998	0.057	0.0
15	43638115	ADAL	0111	0.0	0.075	0.47	0.375
4	43027183	GRXCR1	0100	0.0	0.031	0.011000000000000001	0.009000000000000001
16	51176029	SALL1	0111	0.0	0.12300000000000001	0.27	0.16
5	73997376	HEXB	0111	0.0	0.11900000000000001	0.24	0.4
5	73997469	HEXB	0111	0.0	0.091	0.205	0.436
5	147334016	-	0100	0.0	0.163	0.0	0.0
17	30687741	ZNF207	0110	0.0	0.179	0.28800000000000003	0.0
6	113002418	-	0100	0.0	0.105	0.0	0.0
20	31017154	ASXL1	0111	0.0	0.141	0.281	0.35100000000000003
20	35695678	RBL1	0111	0.0	0.08800000000000001	0.147	0.11
20	44669254	SLC12A5	0111	0.0	0.244	0.34	0.335
7	56899795	-	0111	0.0	0.063	0.293	0.22899999999999998
7	57317027	-	0101	0.0	0.128	0.0	0.03
7	67999072	-	0111	0.0	0.145	0.34700000000000003	0.244
7	114112819	FOXP2	0111	0.0	0.33899999999999997	0.546	0.316
7	118742897	-	0111	0.0	0.247	0.48	0.34299999999999997
8	1857453	ARHGEF10	0111	0.0	0.109	0.163	0.231
8	1858077	ARHGEF10	0111	0.0	0.064	0.218	0.111
8	27672326	PBK	0110	0.0	0.258	0.5770000000000001	0.0
8	27672430	PBK	0110	0.0	0.264	0.586	0.0
8	27672450	PBK	0110	0.0	0.207	0.55	0.0
8	27672454	PBK	0110	0.0	0.217	0.556	0.0
8	105663214	-	0110	0.0	0.156	0.25	0.0
8	105663398	-	0110	0.0	0.18899999999999997	0.215	0.0
8	105663407	-	0110	0.0	0.20600000000000002	0.218	0.0
X	11139100	HCCS	0111	0.0	0.086	0.368	0.257
X	63488899	MTMR8	0110	0.0	0.087	0.158	0.0
X	137795274	FGF13	0110	0.0	0.075	0.28300000000000003	0.0
X	137795450	FGF13	0110	0.0	0.09300000000000001	0.34700000000000003	0.0
X	137795500	FGF13	0110	0.0	0.057	0.379	0.0
X	137795698	FGF13	0110	0.0	0.129	0.307	0.0
1	70504911	LRRC7	0111	0.0	0.073	0.195	0.139
10	7590624	-	0110	0.0	0.03	0.035	0.0
10	78866576	KCNMA1	0110	0.0	0.068	0.024	0.0
3	109049469	DPPA4	0110	0.0	0.114	0.159	0.0
14	86325862	-	0011	0.0	0.0	0.295	0.09
6	152777162	SYNE1	0010	0.0	0.0	0.341	0.0
17	27503427	-	0111	0.0	0.078	0.18899999999999997	0.115
2	167000	-	0110	0.0	0.138	0.495	0.0
20	57399302	ENSG00000234857	0010	0.0	0.0	0.145	0.0
5	37688199	WDR70	0010	0.0	0.0	0.126	0.0
5	37688293	WDR70	0010	0.0	0.0	0.124	0.0
5	37688350	WDR70	0010	0.0	0.0	0.183	0.0
6	68166794	-	0010	0.0	0.0	0.185	0.0
6	68166841	-	0010	0.0	0.0	0.19	0.0
6	68166931	-	0010	0.0	0.0	0.207	0.0
6	68166943	-	0010	0.0	0.0	0.228	0.0
7	91687574	AKAP9	0110	0.0	0.055999999999999994	0.099	0.0
8	38127828	WHSC1L1	0111	0.0	0.043	0.14800000000000002	0.113
8	38127852	WHSC1L1	0111	0.0	0.044000000000000004	0.162	0.12
8	97068476	-	0010	0.0	0.008	0.183	0.0
8	97068506	-	0010	0.0	0.013999999999999999	0.213	0.0
9	20729956	KIAA1797	0010	0.0	0.019	0.154	0.0
9	20729960	KIAA1797	0010	0.0	0.0	0.165	0.0
9	20730742	KIAA1797	0010	0.0	0.0	0.18899999999999997	0.0
X	64955245	MSN	0010	0.0	0.0	0.16699999999999998	0.0
1	21809622	NBPF3	0001	0.0	0.0	0.0	0.055
1	92415301	BRDT	0001	0.0	0.006999999999999999	0.0	0.597
1	186080875	HMCN1	0001	0.0	0.0	0.0	0.07400000000000001
1	186080929	HMCN1	0001	0.0	0.0	0.0	0.066
1	231488437	C1orf124	0001	0.0	0.0	0.0	0.057
1	234958181	-	0001	0.0	0.0	0.0	0.048
10	21332278	NEBL	0001	0.0	0.0	0.0	0.187
10	36573087	-	0001	0.0	0.0	0.0	0.063
10	36573163	-	0001	0.0	0.0	0.0	0.061
3	179294466	ACTL6A	0001	0.0	0.0	0.0	0.086
4	1977106	WHSC1	0001	0.0	0.0	0.0	0.07200000000000001
5	126141343	LMNB1	0001	0.0	0.0	0.006	0.057999999999999996
7	128363317	FAM71F1	0001	0.0	0.0	0.005	0.078
8	28360573	FZD3	0001	0.0	0.0	0.0	0.061
12	25300008	CASC1	0001	0.0	0.0	0.0	0.031
2	5214082	-	0001	0.0	0.0	0.0	0.163
2	5214121	-	0001	0.0	0.0	0.0	0.16899999999999998
2	127004690	-	0001	0.0	0.0	0.0	0.069
2	127004708	-	0001	0.0	0.006999999999999999	0.0	0.062
2	140940651	-	0001	0.0	0.01	0.0	0.075
2	146419557	-	0001	0.0	0.0	0.0	0.073
12	80900384	PTPRQ	0001	0.0	0.0	0.0	0.183
7	56585691	-	0001	0.0	0.0	0.0	0.027999999999999997
7	56585723	-	0001	0.0	0.0	0.002	0.040999999999999995
7	56585866	-	0001	0.0	0.0	0.0	0.02
8	6966354	-	0001	0.0	0.0	0.0	0.07400000000000001
8	19846097	-	0001	0.0	0.0	0.006999999999999999	0.537
8	19846132	-	0001	0.0	0.006	0.0	0.521
8	19846146	-	0001	0.0	0.0	0.0	0.512
8	19846152	-	0001	0.0	0.0	0.0	0.508
8	35875343	-	0001	0.0	0.0	0.0	0.629
X	5224364	-	0001	0.0	0.0	0.006	0.107
X	5224520	-	0001	0.0	0.0	0.005	0.071
X	5224563	-	0001	0.0	0.0	0.0	0.052000000000000005
