ID	SV	Normal_FORMAT	Normal_GenomeCounts	S8404_3_FORMAT	S8404_3_GenomeCounts	S8404_4_FORMAT	S8404_4_GenomeCounts	S8191_6_FORMAT	S8191_6_GenomeCounts
11	8:30392272-30392602	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	331;6;5;1;8;12;375	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	306;10;2;1;11;13;356	0	0
12	8:30596354-30596918	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	565;8;13;0;7;51;375	0	0	0	0
13	8:104382873-104383237	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	365;10;3;0;8;17;375	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	351;7;5;1;11;16;356	0	0
14	8:107728551-107728906	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	356;15;8;2;7;31;375	0	0	0	0
15	8:108120240-108120603	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	364;2;10;0;12;14;375	0	0	0	0
16	10:6251991-6252910	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	920;8;5;0;20;33;375	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	897;12;15;1;39;48;356	0	0
17	10:19397307-19397669	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	363;10;5;1;7;18;375	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	359;4;4;0;6;9;356	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	342;7;15;2;9;33;411
18	10:26767941-26768250	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	310;4;13;1;6;23;375	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	331;7;8;2;7;20;356	0	0
19	10:26999037-27002132	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	3096;3;4;0;16;8;375	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	3097;2;4;0;12;8;411
20	10:27224187-27228081	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	3895;3;8;0;7;192;375	0	0	0	0
21	10:31443349-31444850	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	1502;4;4;1;13;7;375	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	1500;4;3;1;9;5;356	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	1518;3;1;0;12;7;411
22	10:47088387-47088706	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	320;22;30;2;25;82;375	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	320;45;45;2;17;118;356	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	359;22;26;2;8;87;411
23	10:50277996-50278330	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	335;14;19;2;15;34;375	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	343;15;17;2;12;35;356	0	0
24	10:50543511-50543699	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	189;12;6;0;10;19;375	0	0	0	0
25	10:54441190-54441511	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	322;6;1;2;17;7;375	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	302;1;3;2;9;5;356	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	330;7;9;2;10;21;411
26	10:61365478-61365821	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	344;5;5;2;7;10;375	0	0	0	0
27	10:65509232-65511428	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	2197;12;21;0;7;125;375	0	0	0	0
28	10:70786355-70787307	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	953;6;8;0;9;42;375	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	938;5;8;0;10;41;356	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	1094;4;15;0;7;46;411
29	12:54076185-54076507	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	323;7;5;0;6;12;375	0	0	0	0
30	12:62295026-62295238	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	213;4;5;2;6;10;375	0	0	0	0
31	17:62213200-62214194	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	995;6;8;0;12;13;375	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	958;5;3;0;11;6;356	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	967;2;1;0;9;3;411
32	21:39900342-39900691	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	350;8;9;2;6;30;375	0	0	0	0
33	10:47642664-47643161	0	0	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	498;8;6;0;10;12;356	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	568;19;7;0;12;29;411
34	10:54860801-54861134	0	0	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	334;11;14;2;8;31;356	0	0
35	10:66841817-66842082	0	0	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	266;4;19;1;12;34;356	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	282;13;11;1;6;32;411
36	12:58028001-58029275	0	0	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	1275;10;10;0;6;46;356	0	0
37	21:28657654-28976089	0	0	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	318436;14;20;0;6;18220;356	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	318393;8;13;0;12;14912;411
38	1:67201203-67201557	0	0	0	0	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	355;4;7;2;8;18;411
39	2:36159509-36159983	0	0	0	0	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	475;8;7;1;6;26;411
40	21:27514771-27515883	0	0	0	0	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	1113;6;15;1;10;52;411
